,mean_r,std_r,kur_r,skew_r,mean_g,std_g,kur_g,skew_g,mean_b,std_b,kur_b,skew_b,entropy_r,entropy_g,contrast_r,contrast_g,contrast_b,corr_rg,corr_rb,corr_gb,moment_r,moment_g,moment_b,label
406,121.8082,30.625466735382172,0.49730477303236853,0.6589524852058004,124.4456,29.85485958164935,0.5672082944508441,0.7384281339938806,128.0659,29.813549892456617,0.756456732430776,0.8049907060409103,9.179457143076714,9.182418168119561,9.184156559643343,192.0,187.0,193.0,0.9909540769993849,0.9917767046118703,0.9802674654142757,937.9192127599999,891.3126406399999,0
407,122.3622,39.32854194042795,0.04060871013045109,-0.15803244583176268,121.2861,39.53466892222572,0.06102618935781745,-0.18848352627881101,121.9357,38.68423665409465,0.08276197709341737,-0.21273081711809297,9.154100139885312,9.152008150555798,9.155240400576606,246.0,247.0,250.0,0.9957894197419824,0.9963838249396302,0.9915042790883021,1546.73421116,1562.99004679,1
408,117.6265,30.543074464598355,0.4158744771444507,0.592856577305892,119.8546,31.09089350340385,0.4769941678272467,0.636970255001569,123.536,30.957898895112375,0.5777284011014956,0.6713056915807691,9.177204518266452,9.17738609867032,9.17966676272177,188.0,200.0,203.0,0.9875799533851575,0.9908194923828355,0.9695790103548435,932.8793977500001,966.6436588399998,0
409,115.317,42.328183412473535,-0.3802742331382909,0.3508025578399023,114.879,41.213436631758825,-0.323116358575553,0.2833414460094967,114.5998,39.53139309409675,-0.24439258511745354,0.1785176130104834,9.141646685345485,9.144057373520013,9.148296217334368,218.0,215.0,220.0,0.9919189154591826,0.9913900734234413,0.9747639118251289,1791.675111,1698.5473590000004,1
410,115.5999,38.65786621103136,-0.3369354876437969,-0.19917080539904466,112.0011,37.06276701475485,-0.2579905229245343,-0.22535229682877178,109.866,36.51200684706334,-0.12194668033189293,-0.2677349009562761,9.149566951648158,9.15059419423279,9.149487111027838,201.0,194.0,202.0,0.9939008878792154,0.9951941181713428,0.9874508519692126,1494.4306199900002,1373.64869879,1
411,120.8298,31.722907054051653,-0.10264564361672024,0.6442630306256746,124.3906,30.646298824491023,-0.08664314736773049,0.5740048847121424,127.5211,29.407607090513164,-0.09420897506423875,0.45193188581555865,9.176833091734235,9.180626250247766,9.184036172397505,183.0,184.0,183.0,0.9705974533826934,0.9873071560086261,0.9349537105101232,1006.3428319600001,939.1956316399999,1
412,109.7249,19.708841163041523,1.1753628854298857,-1.069995082432615,106.5233,19.59824627638912,1.397990958162615,-1.2102864500001747,109.3755,20.132225404808082,1.7940392184209442,-1.3082554362540164,9.192653378950135,9.191539042535041,9.191360525326559,127.0,125.0,124.0,0.9743090437974836,0.9146062884011816,0.8327921844385247,388.43841999,384.09125711,0
413,114.043,38.19393081367772,-0.2078314657074034,0.09423249324032461,111.8973,38.43277706216401,-0.20658906759286566,0.05274094667246215,111.4381,37.80311056500509,-0.16696914790932693,0.02868727693431316,9.15140021199193,9.147691692879372,9.14906421206704,221.0,232.0,229.0,0.9966336156679046,0.9977117115133854,0.995641290437205,1458.7763510000002,1477.07835271,1
414,175.8985,30.43971086837061,1.0517251288510474,-1.3220185370799542,161.8038,23.179415556911696,1.0004876139431689,-1.3047338628245857,127.2547,12.68761710921322,0.345744905870351,-0.7967815248253128,9.19381273875952,9.199261710316147,9.205207341772242,152.0,118.0,84.0,0.9735099299654466,0.819459619802427,0.7215671501146435,926.5759977499999,537.28530556,0
415,114.1016,27.10510057978018,0.6077562122297686,0.5647169731505296,117.5257,26.170661808788864,0.6010809423182675,0.5629603624808455,120.8589,25.97179991433016,0.6869279863895246,0.5436929267002575,9.182550761253797,9.185936518257652,9.187565171427982,179.0,165.0,182.0,0.9837982387658503,0.9897510743283481,0.9703706752438558,734.68647744,684.90353951,0
416,122.7442,45.855812787039326,-0.8185296891732876,-0.08679858278855997,121.8565,43.53196191018733,-0.8053519428219706,-0.06346013961069259,118.6705,40.544236702027085,-0.7784068446094929,-0.0684136706693502,9.135189367030382,9.142277528967773,9.14836417476557,214.0,204.0,198.0,0.9973890322897512,0.9971110377533039,0.9918306342008018,2102.7555663599996,1895.0317077500001,1
417,117.1592,38.16302471450605,0.3070159204857781,0.5834189349250657,116.4699,37.5063233867304,0.3044498773520914,0.5565089248148654,116.3313,36.440333976378426,0.2782207570046098,0.4926277270780673,9.157671048931043,9.1587012487384,9.161185010778254,222.0,224.0,219.0,0.9931249582319039,0.9940660226666428,0.9822849677031751,1456.4164553599999,1406.72429399,1
418,107.0989,29.410710953494476,-0.4956273503740012,-0.467865610210532,106.568,28.54342614333465,-0.4904299870826052,-0.49966571945239013,106.5408,26.452904100684297,-0.4164605672283739,-0.5867585985464129,9.169435420960571,9.171434872609904,9.176932003828044,168.0,163.0,161.0,0.9972386945559496,0.9907320640372835,0.9830697629948087,864.9899187899999,814.727176,1
419,116.9675,28.826578772896376,1.0184928808085987,0.9668291320828404,117.6151,29.058309517072736,1.1417397281641817,0.9477011032129813,118.8322,27.780051172739043,1.265663042985996,0.9520691277038076,9.18139373410793,9.18115533330293,9.18416748529391,179.0,188.0,181.0,0.9904984174275258,0.9917298018486018,0.9789974023808631,830.97164375,844.38535199,0
420,182.3508,37.3937927918525,-0.8311908013436637,0.29530529540220823,182.6585,35.48899939065626,-0.7757271017572402,0.27059083923117655,186.8143,31.8723111102725,-0.6311788320119236,0.20027414083882258,9.189416068226052,9.191527289889832,9.195779035459875,189.0,186.0,177.0,0.996892769332325,0.9909306589364708,0.9805807902539053,1398.29573936,1259.4690777500002,1
421,134.0442,41.99174497874552,-1.1288240072830271,-0.3414711907505016,133.0494,41.57045777520378,-1.1437584378205814,-0.33115160048187675,132.0603,40.74935906133985,-1.1392404943061596,-0.33265370849669235,9.157415427834998,9.157794138816072,9.159163952083949,185.0,183.0,179.0,0.9981560047746451,0.9983865004198861,0.9971263109475171,1763.3066463599998,1728.10295964,0
422,92.5913,17.815685906245655,6.6290791465608265,2.0251062087968914,90.7558,18.00018239796475,6.848058388373548,2.054904535947318,92.711,17.776925465332862,6.385973578141208,1.9522358445022532,9.193465061053494,9.192468296169045,9.193505723108867,151.0,156.0,155.0,0.9718622676763857,0.9816442677650975,0.9558450660030218,317.39866431,324.00656635999997,0
